machine : 2.1 NVIDIA-8.26.28 310.40.55b01 : NVIDIA Corporation : NVIDIA GeForce GT 650M OpenGL Engine : display monitor
visual system,preset,loadtime,fps
g_epicLines_01OC,0.134766,12.4063
ChoppyBlueOcean,0.126953,40.6231
DunesAtNightOC,0.189941,57.4947
DuskOcean_JG,0.430664,48.2926
g_FIN_01_Epic,0.205078,30.8344
NightOcean_SND,0.155762,57.3836
Exoplanet_dusk_walkOC,0.147461,57.2729
StormyOceanOC,0.150879,57.5783
DunesAtNight,0.156738,57.2453
OpenP5Hackpact,JM_1_bluer,0.421387,52.3356
OpenP5NoiseSphere,gx_work_04a,0.494629,57.8306
jm_03a_things2OC,0.431152,57.4391
jm_02aSun_things1OC,0.193359,57.6062
Nervous_ColorsOC,0.163086,55.6198
CoolEscalation,0.460449,57.4947
MarchingCubes,MetaMarch_1OC,0.472168,57.3282
MetaMarch_3OC,0.51709,57.8306
SineWire1,0.229004,57.5504
MetaMarch_2OC,0.169434,57.6621
LaplacianTunnel,LaplacianGray,2.37695,57.2177
LaplacianBlack,2.17578,49.6055
Oscillations,g_waveForm,0.469727,57.2177
Progressive_wormhole_1,0.181641,57.6621
Pages,DriftOC,0.295898,57.4947
Cities,Archiving6,0.935059,58.0365
gx_FIN_02,0.898926,57.4669
gx_work_02a-1,0.929199,57.1077
Sprawl_aerial1,1.24414,57.2729
ThinSkyscrapers1,1.21484,57.4947
realistic2,0.946289,57.4947
gx_FIN_01,0.771973,57.4669
RandomDigits2,Matrix_5_dense,0.189941,58.885
Matrix_3_slower,0.453125,59.391
NoiseField,0.288086,58.2604
Matrix_4_dense,0.450684,57.7462
ExampleOpenSteer,Fish_purple,0.147949,43.9142
Streamers_purple,0.347656,27.8234
Pursuit_gray,0.208496,27.1258
DataCascade,DoubleTunnel2,0.591309,57.6342
Twitter,CLOUDS,6.021,57.3282
JM_TheCloud_d,29.6665,47.7639
JM_TheCloud_b,7.05469,57.5504
TunnelDrawing,Ink_2,0.30957,56.8335
Ink_1,0.200684,57.7182
BlueWireframe,0.154785,57.6062
OpenP5Machine,JM_clockworkOC,0.435059,18.8802
JM_Machine2,0.146973,17.7231
World,SpaceJunkOC,0.708008,24.8725
Replicator,Replicator,0.283203,25.3683
Voro,crystal1,0.161621,58.3166
OpenP5SpaceJunk,DynamicLighting,0.427979,44.1591
Xstatic,BigPong3_yellow,0.327148,59.0485
CubeCraft,Tetris,0.384277,58.0783
CubeCraft,j_05_blue,0.613281,52.9871
World,Arcs,0.767334,40.93
WormHole,Aminos_2,0.658203,56.3262
CubeCraft,j_FIN_01,0.623779,51.6971
Flying,lush,4.10693,58.7133
Connectors,Rotating_Box_SND,0.394775,58.6848
VerletForm,JG_does_marius,0.593506,55.1783
OpenP5Spaghetti,scribbles,0.130615,58.9281
Astrolabe,Clock2_ZoomIn,0.142334,56.3806
OpenP5TextUniverse,Borges_randomOC,0.163574,59.0485
OpenP5SpaceJunk,FallingCubes,0.197021,37.7237
Terrain,JM_DrawGoo_rotation,0.514648,58.842
Histogram,Waveform1_Happen,0.258545,58.842
Neurons,Brain_wide_OC,0.148438,22.3295
MazeGenerator,gal2,2.25415,57.5643
Xstatic,FastPhysics_TumblingBox,0.200684,56.4761
RGBDVideo,ITP_2_omerOC,0.425781,50.5312
CubeCraft,MC_desert3,0.69751,56.1636
WormHole,gTunnelv2_05_xrayGray,1.13965,58.0644
Circuit,JG_AggregiousSweep,0.948242,42.646
Terrain,M_LandscapeTV,0.213623,56.668
Mandala,JM_pulse1OC,1.17896,56.723
World,g_Intro_03,0.769531,29.7963
RGBDVideo,ITP_3OC,0.40625,55.258
Cosmic,EG_CosmicCornea,0.656494,57.5225
RGBDVideo,ITP_5,0.259766,49.29
OpenP5SpaceJunk,gx_work_01a,0.310547,36.3783
OpenP5SpaceJunk,jm_work_03a,0.288086,29.285
Terrain,M_LiquidTerrain_rotation,0.61377,55.9885
Replicator,Replicator_echoVortex,0.126465,25.4228
